instance_id,run_id,solved,stopped_reason,duration_s,total_tokens_in,total_tokens_out,planner_tokens_in,planner_tokens_out,coder_tokens_in,coder_tokens_out,reviewer_tokens_in,reviewer_tokens_out,value_tokens_in,value_tokens_out,coder_model,planner_model,reviewer_model,tree_nodes,best_node_depth,best_node_value,mcts_iterations,avg_branching_factor,max_branches,cost_usd,variant,case_set,solve_int,total_tokens
owner_sort_001,A_c1_9b_mcts,True,auto_finalized,74.4,11307,526,586,194,10721,332,0,0,0,0,ollama/qwen3.5:9b,ollama/qwen3.5:9b,,4,3,43.808304,18,1.0,1,0.0012096000000000001,A,c1,1,11833
priority_snapshot_001,A_c1_9b_mcts,True,auto_finalized,106.28,17201,575,652,178,16124,318,425,79,0,0,ollama/qwen3.5:9b,ollama/qwen3.5:9b,ollama/qwen3.5:9b,6,5,41.219233233599994,18,1.0,1,0.0018063500000000002,A,c1,1,17776
renewal_preview_001,A_c1_9b_mcts,True,auto_finalized,236.92,46874,1454,689,249,44992,1051,1193,154,0,0,ollama/qwen3.5:9b,ollama/qwen3.5:9b,ollama/qwen3.5:9b,12,11,27.18145331734705,18,1.0,1,0.004905499999999999,A,c1,1,48328
risk_score_001,A_c1_9b_mcts,True,auto_finalized,56.73,9287,323,583,169,8704,154,0,0,0,0,ollama/qwen3.5:9b,ollama/qwen3.5:9b,,4,3,43.808304,18,1.0,1,0.00097715,A,c1,1,9610
shipment_preview_001,A_c1_9b_mcts,False,reviewer_rejected,261.64,76748,1165,755,235,74372,669,1621,261,0,0,ollama/qwen3.5:9b,ollama/qwen3.5:9b,ollama/qwen3.5:9b,20,11,1.6690366072055223,18,1.0555555555555556,2,0.00784955,A,c1,0,77913
simple_mean_bug_001,A_c1_9b_mcts,True,auto_finalized,59.09,9369,329,616,171,8753,158,0,0,0,0,ollama/qwen3.5:9b,ollama/qwen3.5:9b,,4,3,43.808304,18,1.0,1,0.0009862500000000001,A,c1,1,9698
status_slug_001,A_c1_9b_mcts,True,auto_finalized,61.75,8594,419,579,143,8015,276,0,0,0,0,ollama/qwen3.5:9b,ollama/qwen3.5:9b,,4,3,43.808304,18,1.0,1,0.0009222499999999999,A,c1,1,9013
team_digest_001,A_c1_9b_mcts,True,auto_finalized,105.31,20727,1197,614,184,20113,1013,0,0,0,0,ollama/qwen3.5:9b,ollama/qwen3.5:9b,,5,4,42.49405487999999,18,1.0,1,0.00225225,A,c1,1,21924
workspace_digest_001,A_c1_9b_mcts,True,auto_finalized,86.19,23084,806,837,227,22247,579,0,0,0,0,ollama/qwen3.5:9b,ollama/qwen3.5:9b,,7,6,39.98265623659199,18,1.0,1,0.0024293,A,c1,1,23890
assignee_board_001,A_c2_9b_mcts,False,max_iterations,216.7,87234,1786,0,0,87234,1786,0,0,0,0,ollama/qwen3.5:9b,,,19,18,0.0,18,1.0,1,0.008991299999999999,A,c2,0,89020
campaign_header_001,A_c2_9b_mcts,False,parse_failure,81.19,10669,629,0,0,10669,629,0,0,0,0,ollama/qwen3.5:9b,,,6,5,0.0,18,1.0,1,0.00116125,A,c2,0,11298
comment_highlight_001,A_c2_9b_mcts,True,auto_finalized,56.09,8131,213,0,0,8131,213,0,0,0,0,ollama/qwen3.5:9b,,,5,4,42.49405487999999,18,1.0,1,0.0008450500000000001,A,c2,1,8344
dispatch_preview_001,A_c2_9b_mcts,False,empty_patch_guardrail,148.79,58477,1302,0,0,58477,1302,0,0,0,0,ollama/qwen3.5:9b,,,20,18,0.0,18,1.0555555555555556,2,0.006043000000000001,A,c2,0,59779
fee_rounding_001,A_c2_9b_mcts,True,auto_finalized,47.44,4702,128,0,0,4702,128,0,0,0,0,ollama/qwen3.5:9b,,,4,3,43.808304,18,1.0,1,0.0004894000000000001,A,c2,1,4830
headline_api_001,A_c2_9b_mcts,False,max_iterations,301.69,103033,3490,0,0,103033,3490,0,0,0,0,ollama/qwen3.5:9b,,,20,12,0.0,18,1.0555555555555556,2,0.010826800000000001,A,c2,0,106523
incident_brief_c2_001,A_c2_9b_mcts,True,auto_finalized,57.54,7450,246,0,0,7450,246,0,0,0,0,ollama/qwen3.5:9b,,,5,4,42.49405487999999,18,1.0,1,0.0007819,A,c2,1,7696
invoice_summary_001,A_c2_9b_mcts,True,auto_finalized,53.92,7996,143,0,0,7996,143,0,0,0,0,ollama/qwen3.5:9b,,,5,4,42.49405487999999,18,1.0,1,0.00082105,A,c2,1,8139
label_join_001,A_c2_9b_mcts,True,auto_finalized,69.73,6371,494,0,0,6371,494,0,0,0,0,ollama/qwen3.5:9b,,,5,4,42.49405487999999,18,1.0,1,0.0007112,A,c2,1,6865
partner_brief_001,A_c2_9b_mcts,True,auto_finalized,60.88,10552,233,0,0,10552,233,0,0,0,0,ollama/qwen3.5:9b,,,7,6,39.98265623659199,18,1.0,1,0.00109015,A,c2,1,10785
profile_preview_001,A_c2_9b_mcts,False,max_iterations,154.99,54163,1498,0,0,54163,1498,0,0,0,0,ollama/qwen3.5:9b,,,19,18,0.0,18,1.0,1,0.005641,A,c2,0,55661
queue_digest_001,A_c2_9b_mcts,True,auto_finalized,55.14,7522,164,0,0,7522,164,0,0,0,0,ollama/qwen3.5:9b,,,5,4,42.49405487999999,18,1.0,1,0.0007768,A,c2,1,7686
ratio_guard_001,A_c2_9b_mcts,False,parse_failure,68.01,7724,464,0,0,7724,464,0,0,0,0,ollama/qwen3.5:9b,,,4,3,0.0,18,1.0,1,0.0008420000000000001,A,c2,0,8188
renewal_banner_001,A_c2_9b_mcts,False,max_iterations,179.68,58124,1751,0,0,58124,1751,0,0,0,0,ollama/qwen3.5:9b,,,19,18,2.311805050172163,18,1.0,1,0.00607505,A,c2,0,59875
retry_slot_001,A_c2_9b_mcts,True,auto_finalized,49.61,4854,150,0,0,4854,150,0,0,0,0,ollama/qwen3.5:9b,,,4,3,43.808304,18,1.0,1,0.0005079,A,c2,1,5004
shipment_digest_001,A_c2_9b_mcts,True,auto_finalized,57.71,7437,284,0,0,7437,284,0,0,0,0,ollama/qwen3.5:9b,,,5,4,42.49405487999999,18,1.0,1,0.0007863000000000001,A,c2,1,7721
sprint_rollup_001,A_c2_9b_mcts,True,auto_finalized,48.39,5120,137,0,0,5120,137,0,0,0,0,ollama/qwen3.5:9b,,,4,3,43.808304,18,1.0,1,0.0005325499999999999,A,c2,1,5257
tag_visibility_001,A_c2_9b_mcts,True,auto_finalized,54.04,6702,161,0,0,6702,161,0,0,0,0,ollama/qwen3.5:9b,,,5,4,42.49405487999999,18,1.0,1,0.00069435,A,c2,1,6863
timeline_caption_001,A_c2_9b_mcts,False,parse_failure,131.51,38526,1229,0,0,38526,1229,0,0,0,0,ollama/qwen3.5:9b,,,15,14,0.0,18,1.0,1,0.00403695,A,c2,0,39755
window_center_001,A_c2_9b_mcts,True,auto_finalized,46.47,4761,95,0,0,4761,95,0,0,0,0,ollama/qwen3.5:9b,,,4,3,43.808304,18,1.0,1,0.0004903500000000001,A,c2,1,4856
alert_subject_001,A_c3_9b_mcts,False,,3.3,0,0,0,0,0,0,0,0,0,0,,,,0,0,0.0,0,0.0,0,0.0,A,c3,0,0
backlog_health_medium_c3_001,A_c3_9b_mcts,True,auto_finalized,139.16,9410,465,642,235,8768,230,0,0,0,0,ollama/qwen3.5:9b,ollama/qwen3.5:9b,,4,3,43.808304,18,1.0,1,0.0010107500000000001,A,c3,1,9875
c3_banner_trim_001,A_c3_9b_mcts,True,auto_finalized,63.68,8430,337,560,158,7870,179,0,0,0,0,ollama/qwen3.5:9b,ollama/qwen3.5:9b,,4,3,43.808304,18,1.0,1,0.0008935500000000001,A,c3,1,8767
c3_clamp_floor_001,A_c3_9b_mcts,True,auto_finalized,65.93,8461,370,564,154,7897,216,0,0,0,0,ollama/qwen3.5:9b,ollama/qwen3.5:9b,,4,3,43.808304,18,1.0,1,0.0009016,A,c3,1,8831
c3_csv_count_001,A_c3_9b_mcts,True,auto_finalized,66.63,8407,340,565,163,7842,177,0,0,0,0,ollama/qwen3.5:9b,ollama/qwen3.5:9b,,4,3,43.808304,18,1.0,1,0.0008916999999999999,A,c3,1,8747
c3_eta_label_001,A_c3_9b_mcts,True,auto_finalized,67.97,8471,397,557,188,7914,209,0,0,0,0,ollama/qwen3.5:9b,ollama/qwen3.5:9b,,4,3,43.808304,18,1.0,1,0.0009066500000000002,A,c3,1,8868
c3_initials_join_001,A_c3_9b_mcts,False,reviewer_rejected,397.62,146393,2760,565,137,143541,2364,2287,259,0,0,ollama/qwen3.5:9b,ollama/qwen3.5:9b,ollama/qwen3.5:9b,19,18,0.0,18,1.0,1,0.0150533,A,c3,0,149153
c3_slug_tail_001,A_c3_9b_mcts,True,auto_finalized,62.12,8396,347,562,167,7834,180,0,0,0,0,ollama/qwen3.5:9b,ollama/qwen3.5:9b,,4,3,43.808304,18,1.0,1,0.0008916500000000001,A,c3,1,8743
c3_title_case_001,A_c3_9b_mcts,True,auto_finalized,126.13,21262,1324,566,165,20696,1159,0,0,0,0,ollama/qwen3.5:9b,ollama/qwen3.5:9b,,6,5,41.219233233599994,18,1.0,1,0.0023247999999999997,A,c3,1,22586
escalation_caption_001,A_c3_9b_mcts,False,reviewer_rejected,425.64,119568,3560,593,278,116751,3032,2224,250,0,0,ollama/qwen3.5:9b,ollama/qwen3.5:9b,ollama/qwen3.5:9b,19,18,0.0,18,1.0,1,0.0124908,A,c3,0,123128
invoice_alerts_medium_c3_001,A_c3_9b_mcts,True,auto_finalized,72.73,9435,465,641,237,8794,228,0,0,0,0,ollama/qwen3.5:9b,ollama/qwen3.5:9b,,4,3,43.808304,18,1.0,1,0.00101325,A,c3,1,9900
ledger_preview_001,A_c3_9b_mcts,True,auto_finalized,214.32,7654,681,594,255,5980,248,1080,178,0,0,ollama/qwen3.5:9b,ollama/qwen3.5:9b,ollama/qwen3.5:9b,3,2,45.163199999999996,18,1.0,1,0.00086755,A,c3,1,8335
oncall_brief_medium_c3_001,A_c3_9b_mcts,True,auto_finalized,70.81,9402,432,644,185,8758,247,0,0,0,0,ollama/qwen3.5:9b,ollama/qwen3.5:9b,,4,3,43.808304,18,1.0,1,0.001005,A,c3,1,9834
quota_snapshot_medium_c3_001,A_c3_9b_mcts,True,auto_finalized,71.42,9448,471,643,239,8805,232,0,0,0,0,ollama/qwen3.5:9b,ollama/qwen3.5:9b,,4,3,43.808304,18,1.0,1,0.00101545,A,c3,1,9919
release_notes_medium_c3_001,A_c3_9b_mcts,True,auto_finalized,78.69,14658,533,637,245,14021,288,0,0,0,0,ollama/qwen3.5:9b,ollama/qwen3.5:9b,,6,5,41.219233233599994,18,1.0,1,0.0015457500000000002,A,c3,1,15191
roster_signature_001,A_c3_9b_mcts,False,reviewer_rejected,464.12,109227,4844,599,245,106654,4269,1974,330,0,0,ollama/qwen3.5:9b,ollama/qwen3.5:9b,ollama/qwen3.5:9b,20,12,0.0,18,1.0555555555555556,2,0.011649300000000001,A,c3,0,114071
segment_badge_001,A_c3_9b_mcts,False,reviewer_rejected,214.55,13128,891,590,196,11073,357,1465,338,0,0,ollama/qwen3.5:9b,ollama/qwen3.5:9b,ollama/qwen3.5:9b,4,3,0.0,18,1.0,1,0.00144645,A,c3,0,14019
ticket_digest_medium_c3_001,A_c3_9b_mcts,True,auto_finalized,79.29,12167,462,646,190,11521,272,0,0,0,0,ollama/qwen3.5:9b,ollama/qwen3.5:9b,,5,4,42.49405487999999,18,1.0,1,0.001286,A,c3,1,12629
transfer_digest_001,A_c3_9b_mcts,False,reviewer_rejected,407.96,95513,2328,593,199,92294,1894,2626,235,0,0,ollama/qwen3.5:9b,ollama/qwen3.5:9b,ollama/qwen3.5:9b,21,13,0.0,18,1.1111111111111112,2,0.0099005,A,c3,0,97841
uptime_rollup_medium_c3_001,A_c3_9b_mcts,True,auto_finalized,72.1,12214,479,648,204,11566,275,0,0,0,0,ollama/qwen3.5:9b,ollama/qwen3.5:9b,,5,4,42.49405487999999,18,1.0,1,0.0012932500000000001,A,c3,1,12693
board_rollup_001,B_c1_rafe_linear,True,,90.96,1171,832,1171,832,0,0,0,0,0,0,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b,openai/openai/gpt-oss-120b,0,0,0.0,0,0.0,0,0.0006748500000000001,B,c1,1,2003
budget_snapshot_001,B_c1_rafe_linear,True,,114.11,1215,901,1215,901,0,0,0,0,0,0,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b,openai/openai/gpt-oss-120b,0,0,0.0,0,0.0,0,0.00072285,B,c1,1,2116
contact_card_001,B_c1_rafe_linear,False,,1273.47,1109,916,1109,916,0,0,0,0,0,0,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b,openai/openai/gpt-oss-120b,0,0,0.0,0,0.0,0,0.00071595,B,c1,0,2025
digest_preview_001,B_c1_rafe_linear,True,,192.99,1267,891,1267,891,0,0,0,0,0,0,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b,openai/openai/gpt-oss-120b,0,0,0.0,0,0.0,0,0.00072465,B,c1,1,2158
incident_brief_001,B_c1_rafe_linear,True,,172.99,1221,785,1221,785,0,0,0,0,0,0,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b,openai/openai/gpt-oss-120b,0,0,0.0,0,0.0,0,0.0006541499999999999,B,c1,1,2006
invoice_footer_001,B_c1_rafe_linear,True,,334.11,1087,726,1087,726,0,0,0,0,0,0,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b,openai/openai/gpt-oss-120b,0,0,0.0,0,0.0,0,0.0005986499999999999,B,c1,1,1813
label_formatter_001,B_c1_rafe_linear,True,,154.66,1092,1038,1092,1038,0,0,0,0,0,0,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b,openai/openai/gpt-oss-120b,0,0,0.0,0,0.0,0,0.0007865999999999999,B,c1,1,2130
median_window_001,B_c1_rafe_linear,True,,93.97,1057,779,1057,779,0,0,0,0,0,0,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b,openai/openai/gpt-oss-120b,0,0,0.0,0,0.0,0,0.0006259499999999999,B,c1,1,1836
milestone_rollup_001,B_c1_rafe_linear,True,,128.15,1086,709,1086,709,0,0,0,0,0,0,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b,openai/openai/gpt-oss-120b,0,0,0.0,0,0.0,0,0.0005882999999999999,B,c1,1,1795
nested_app_001,B_c1_rafe_linear,True,,121.01,1179,844,1179,844,0,0,0,0,0,0,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b,openai/openai/gpt-oss-120b,0,0,0.0,0,0.0,0,0.00068325,B,c1,1,2023
owner_recap_001,B_c1_rafe_linear,True,,164.65,1274,772,1274,772,0,0,0,0,0,0,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b,openai/openai/gpt-oss-120b,0,0,0.0,0,0.0,0,0.0006542999999999999,B,c1,1,2046
owner_sort_001,B_c1_rafe_linear,True,,94.95,1069,655,1069,655,0,0,0,0,0,0,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b,openai/openai/gpt-oss-120b,0,0,0.0,0,0.0,0,0.00055335,B,c1,1,1724
priority_snapshot_001,B_c1_rafe_linear,True,,149.37,1107,777,1107,777,0,0,0,0,0,0,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b,openai/openai/gpt-oss-120b,0,0,0.0,0,0.0,0,0.00063225,B,c1,1,1884
renewal_preview_001,B_c1_rafe_linear,True,,229.62,1140,936,1140,936,0,0,0,0,0,0,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b,openai/openai/gpt-oss-120b,0,0,0.0,0,0.0,0,0.0007326,B,c1,1,2076
risk_score_001,B_c1_rafe_linear,True,,101.78,1066,646,1066,646,0,0,0,0,0,0,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b,openai/openai/gpt-oss-120b,0,0,0.0,0,0.0,0,0.0005475,B,c1,1,1712
shipment_preview_001,B_c1_rafe_linear,False,,628.69,1205,806,1205,806,0,0,0,0,0,0,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b,openai/openai/gpt-oss-120b,0,0,0.0,0,0.0,0,0.0006643499999999999,B,c1,0,2011
simple_mean_bug_001,B_c1_rafe_linear,True,,95.93,1110,513,1110,513,0,0,0,0,0,0,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b,openai/openai/gpt-oss-120b,0,0,0.0,0,0.0,0,0.00047430000000000004,B,c1,1,1623
status_slug_001,B_c1_rafe_linear,True,,95.29,1064,674,1064,674,0,0,0,0,0,0,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b,openai/openai/gpt-oss-120b,0,0,0.0,0,0.0,0,0.000564,B,c1,1,1738
team_digest_001,B_c1_rafe_linear,True,,120.91,1082,684,1082,684,0,0,0,0,0,0,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b,openai/openai/gpt-oss-120b,0,0,0.0,0,0.0,0,0.0005726999999999999,B,c1,1,1766
workspace_digest_001,B_c1_rafe_linear,True,,133.32,1291,951,1291,951,0,0,0,0,0,0,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b,openai/openai/gpt-oss-120b,0,0,0.0,0,0.0,0,0.00076425,B,c1,1,2242
assignee_board_001,B_c2_rafe_linear,False,reviewer_rejected,187.25,54776,2122,655,435,52112,567,2009,1120,0,0,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b,openai/openai/gpt-oss-120b,19,18,0.0,18,1.0,1,0.00566032,B,c2,0,56898
campaign_header_001,B_c2_rafe_linear,False,,2.79,0,0,0,0,0,0,0,0,0,0,,,,0,0,0.0,0,0.0,0,0.0,B,c2,0,0
comment_highlight_001,B_c2_rafe_linear,True,auto_finalized,58.51,9226,573,658,397,8568,176,0,0,0,0,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b,,5,4,42.49405487999999,18,1.0,1,0.0010716200000000001,B,c2,1,9799
dispatch_preview_001,B_c2_rafe_linear,False,reviewer_rejected,176.2,56543,2229,639,564,53838,1075,2066,590,0,0,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b,openai/openai/gpt-oss-120b,19,18,0.0,18,1.0,1,0.00570619,B,c2,0,58772
fee_rounding_001,B_c2_rafe_linear,True,auto_finalized,50.21,5950,461,596,355,5354,106,0,0,0,0,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b,,4,3,43.808304,18,1.0,1,0.0007604,B,c2,1,6411
headline_api_001,B_c2_rafe_linear,True,auto_finalized,145.52,6758,1656,590,726,5173,137,995,793,0,0,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b,openai/openai/gpt-oss-120b,4,3,43.808304,18,1.0,1,0.0016013499999999999,B,c2,1,8414
incident_brief_c2_001,B_c2_rafe_linear,False,reviewer_rejected,168.91,57713,2003,663,541,55529,1115,1521,347,0,0,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b,openai/openai/gpt-oss-120b,19,18,0.0,18,1.0,1,0.00561492,B,c2,0,59716
invoice_summary_001,B_c2_rafe_linear,True,auto_finalized,53.28,6917,510,630,406,6287,104,0,0,0,0,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b,,4,3,43.808304,18,1.0,1,0.00087018,B,c2,1,7427
label_join_001,B_c2_rafe_linear,True,auto_finalized,50.54,5944,491,586,391,5358,100,0,0,0,0,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b,,4,3,43.808304,18,1.0,1,0.00077914,B,c2,1,6435
partner_brief_001,B_c2_rafe_linear,True,auto_finalized,66.05,8184,957,656,768,7528,189,0,0,0,0,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b,,5,4,42.49405487999999,18,1.0,1,0.0012143599999999998,B,c2,1,9141
profile_preview_001,B_c2_rafe_linear,False,reviewer_rejected,162.17,50675,1905,639,679,48302,591,1734,635,0,0,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b,openai/openai/gpt-oss-120b,19,18,0.0,18,1.0,1,0.00517399,B,c2,0,52580
queue_digest_001,B_c2_rafe_linear,True,auto_finalized,91.23,9521,1722,1397,1558,8124,164,0,0,0,0,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b,,5,4,42.49405487999999,18,1.0,1,0.0018401899999999998,B,c2,1,11243
ratio_guard_001,B_c2_rafe_linear,True,auto_finalized,54.81,6946,606,592,516,6354,90,0,0,0,0,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b,,4,3,43.808304,18,1.0,1,0.0009319199999999999,B,c2,1,7552
renewal_banner_001,B_c2_rafe_linear,False,reviewer_rejected,185.23,46129,1842,629,653,43681,715,1819,474,0,0,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b,openai/openai/gpt-oss-120b,19,18,0.0,18,1.0,1,0.00473808,B,c2,0,47971
retry_slot_001,B_c2_rafe_linear,True,auto_finalized,51.85,6276,499,593,396,5683,103,0,0,0,0,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b,,4,3,43.808304,18,1.0,1,0.00081003,B,c2,1,6775
shipment_digest_001,B_c2_rafe_linear,True,auto_finalized,59.03,8941,621,657,486,8284,135,0,0,0,0,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b,,5,4,42.49405487999999,18,1.0,1,0.00109067,B,c2,1,9562
sprint_rollup_001,B_c2_rafe_linear,True,auto_finalized,51.19,6467,523,649,400,5818,123,0,0,0,0,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b,,4,3,43.808304,18,1.0,1,0.00083723,B,c2,1,6990
tag_visibility_001,B_c2_rafe_linear,True,auto_finalized,52.04,6033,488,584,390,5449,98,0,0,0,0,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b,,4,3,43.808304,18,1.0,1,0.00078496,B,c2,1,6521
timeline_caption_001,B_c2_rafe_linear,False,reviewer_rejected,173.31,62248,2056,637,581,59421,896,2190,579,0,0,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b,openai/openai/gpt-oss-120b,19,18,0.0,18,1.0,1,0.006124610000000001,B,c2,0,64304
window_center_001,B_c2_rafe_linear,False,,2.75,0,0,0,0,0,0,0,0,0,0,,,,0,0,0.0,0,0.0,0,0.0,B,c2,0,0
alert_subject_001,B_c3_rafe_linear,False,reviewer_rejected,167.66,44127,1643,620,614,42053,685,1454,344,0,0,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b,openai/openai/gpt-oss-120b,19,18,0.0,18,1.0,1,0.004441940000000001,B,c3,0,45770
backlog_health_medium_c3_001,B_c3_rafe_linear,True,auto_finalized,56.18,8850,629,670,450,8180,179,0,0,0,0,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b,,5,4,42.49405487999999,18,1.0,1,0.0010750199999999999,B,c3,1,9479
c3_banner_trim_001,B_c3_rafe_linear,True,auto_finalized,52.22,6087,462,588,348,5499,114,0,0,0,0,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b,,4,3,43.808304,18,1.0,1,0.00076884,B,c3,1,6549
c3_clamp_floor_001,B_c3_rafe_linear,True,auto_finalized,56.44,6022,591,596,503,5426,88,0,0,0,0,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b,,4,3,43.808304,18,1.0,1,0.0008499199999999999,B,c3,1,6613
c3_csv_count_001,B_c3_rafe_linear,True,auto_finalized,49.11,5994,425,593,332,5401,93,0,0,0,0,openai/Qwen/Qwen3-VL-30B-A3B-Instruct,openai/openai/gpt-oss-120b,,4,3,43.808304,18,1.0,1,0.00074627,B,c3,1,6419
